wqx_name,sample_collection_equipment_name
Total Petroleum Hydrocarbons (C6-C32 TPH),Water Bottle
Toluene-d8,Water Bottle
Turbidity,Water Bottle
Aluminum,Water Bottle
Copper,Water Bottle
Iron,Water Bottle
Lead,Water Bottle
Manganese,Water Bottle
Nickel,Water Bottle
Potassium,Water Bottle
Antimony,Water Bottle
Silver,Water Bottle
Sodium,Water Bottle
Zinc,Water Bottle
Barium,Water Bottle
Beryllium,Water Bottle
pH,Water Bottle
Total Petroleum Hydrocarbons (C6-C32 TPH),Water Bottle
Dissolved oxygen (DO),Water Bottle
"Temperature, air",Probe/Sensor
"Temperature, water",Probe/Sensor
Stream stage,Probe/Sensor
