Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,EPO1,EPO1:20160602:Water:FM,Field Msr/Obs,Water,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-02,PST,14:00:00,,,,
RCS,EPO1,EPO1:20160602:Water:FM,Field Msr/Obs,Water,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-02,PST,16:00:00,,,,
RCS,EPO1,EPO1:20160602:Water:FM,Field Msr/Obs,Water,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-02,PST,18:00:00,,,,
RCS,EPO1,EPO1:20160602:Water:FM,Field Msr/Obs,Water,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-02,PST,20:00:00,,,,
RCS,EPO1,EPO1:20160602:Water:FM,Field Msr/Obs,Water,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-02,PST,22:00:00,,,,
RCS,EPO1,EPO1:20160603:Water:FM,Field Msr/Obs,Water,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-03,PST,00:00:00,,,,
RCS,EPO1,EPO1:20160603:Water:FM,Field Msr/Obs,Water,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-03,PST,02:00:00,,,,
RCS,EPO1,EPO1:20160603:Water:FM,Field Msr/Obs,Water,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-03,PST,04:00:00,,,,
RCS,EPO1,EPO1:20160603:Water:FM,Field Msr/Obs,Water,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-03,PST,06:00:00,,,,
RCS,EPO1,EPO1:20160603:Water:FM,Field Msr/Obs,Water,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2016-06-03,PST,08:00:00,,,,
