Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2017-03-24,PST,00:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2017-03-24,PST,02:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,Not Detected at Reporting Limit,,,,,Final,,Actual,,,2017-03-24,PST,04:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,51.18199920654297,deg F,,,Final,,Actual,,,2017-03-24,PST,06:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.215999603271484,deg F,,,Final,,Actual,,,2017-03-24,PST,08:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.215999603271484,deg F,,,Final,,Actual,,,2017-03-24,PST,10:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.215999603271484,deg F,,,Final,,Actual,,,2017-03-24,PST,12:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.058998107910156,deg F,,,Final,,Actual,,,2017-03-24,PST,14:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,54.3650016784668,deg F,,,Final,,Actual,,,2017-03-24,PST,16:00:00,,,,
RCS,VY1,VY1:20170324:Water:FM,Field Msr/Obs,Water,2017-03-24,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.10900115966797,deg F,,,Final,,Actual,,,2017-03-24,PST,18:00:00,,,,
