Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,Baro1,Baro1:20160602:Air:FM,Field Msr/Obs,Air,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,89.65699768066406,deg F,,,Final,,Actual,,,2016-06-02,PST,14:00:00,,,,
RCS,Baro1,Baro1:20160602:Air:FM,Field Msr/Obs,Air,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,90.4229965209961,deg F,,,Final,,Actual,,,2016-06-02,PST,16:00:00,,,,
RCS,Baro1,Baro1:20160602:Air:FM,Field Msr/Obs,Air,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,83.397003173828125,deg F,,,Final,,Actual,,,2016-06-02,PST,18:00:00,,,,
RCS,Baro1,Baro1:20160602:Air:FM,Field Msr/Obs,Air,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,75.03199768066406,deg F,,,Final,,Actual,,,2016-06-02,PST,20:00:00,,,,
RCS,Baro1,Baro1:20160602:Air:FM,Field Msr/Obs,Air,2016-06-02,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,66.04100036621094,deg F,,,Final,,Actual,,,2016-06-02,PST,22:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,59.5880012512207,deg F,,,Final,,Actual,,,2016-06-03,PST,00:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,55.25,deg F,,,Final,,Actual,,,2016-06-03,PST,02:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,52.82600021362305,deg F,,,Final,,Actual,,,2016-06-03,PST,04:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,52.263999938964844,deg F,,,Final,,Actual,,,2016-06-03,PST,06:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,57.0099983215332,deg F,,,Final,,Actual,,,2016-06-03,PST,08:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,75.9990005493164,deg F,,,Final,,Actual,,,2016-06-03,PST,10:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,92.29199981689453,deg F,,,Final,,Actual,,,2016-06-03,PST,12:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,97.10399627685547,deg F,,,Final,,Actual,,,2016-06-03,PST,14:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,96.09400177001953,deg F,,,Final,,Actual,,,2016-06-03,PST,16:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,85.63600158691406,deg F,,,Final,,Actual,,,2016-06-03,PST,18:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,79.40899658203125,deg F,,,Final,,Actual,,,2016-06-03,PST,20:00:00,,,,
RCS,Baro1,Baro1:20160603:Air:FM,Field Msr/Obs,Air,2016-06-03,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,70.42900085449219,deg F,,,Final,,Actual,,,2016-06-03,PST,22:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,64.41600036621094,deg F,,,Final,,Actual,,,2016-06-04,PST,00:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,60.6870002746582,deg F,,,Final,,Actual,,,2016-06-04,PST,02:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,58.57699966430664,deg F,,,Final,,Actual,,,2016-06-04,PST,04:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,58.025001525878906,deg F,,,Final,,Actual,,,2016-06-04,PST,06:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,62.32899856567383,deg F,,,Final,,Actual,,,2016-06-04,PST,08:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,72.55999755859375,deg F,,,Final,,Actual,,,2016-06-04,PST,10:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,76.78800201416016,deg F,,,Final,,Actual,,,2016-06-04,PST,12:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,80.27899932861328,deg F,,,Final,,Actual,,,2016-06-04,PST,14:00:00,,,,
RCS,Baro1,Baro1:20160604:Air:FM,Field Msr/Obs,Air,2016-06-04,,,,,DCR-QAPP,Probe/Sensor,Rugged BaroTROLL,"Temperature, air",,,81.667999267578125,deg F,,,Final,,Actual,,,2016-06-04,PST,16:00:00,,,,
